Propriedade,Tags,Responsável,Projeto,Status,Prioridade,Prazo,Agrupando Por :,Tarefa principal,Descrição
Valor das Exclusões,BI,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Por Tipo (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Tipo%208f6b5600b6204023bf2ce740a13e23fe.csv), Por Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Funciona%CC%81rio%207dd6157198d84246958c111e92de3ba1.csv)",Aplicativo Caixa (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Caixa%2032060edfc33c4908b4b9b7df2862dd6f.csv),"Valor total das parcelas excluídas do caixa. "
Sangrias do Período,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,Por Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Funciona%CC%81rio%20436b121f579a4050aa84fe09d3add7c3.csv),Aplicativo Caixa (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Caixa%2032060edfc33c4908b4b9b7df2862dd6f.csv),"Quantidade de retiradas de dinheiro não programadas do caixa. "
Pagamentos Realizados,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Por Fornecedor (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Fornecedor%204fc3db1332aa418fa99c3b26c2e62365.csv), Por Condição de Pagamento (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Condic%CC%A7a%CC%83o%20de%20Pagamento%2008eb23ae6abf46b99bb2584a5b55bb19.csv)",Aplicativo Caixa (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Caixa%2032060edfc33c4908b4b9b7df2862dd6f.csv),Valor total dos pagamentos registrados em caixa.
Fluxo de Caixa,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Aplicativo Caixa (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Caixa%2032060edfc33c4908b4b9b7df2862dd6f.csv),Entradas e saídas de valores do caixa da empresa durante um período específico.
Volume de Transações,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Por Condição de Pagamento (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Condic%CC%A7a%CC%83o%20de%20Pagamento%20e875760357d04d78b4668d7ee1412aa3.csv), Sem título (Tarefas%2035631d51a2bd48b992678042ebb44814/Sem%20ti%CC%81tulo%20c11df8fc6a554f55ab07d13b8ee397df.csv)",Aplicativo Caixa (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Caixa%2032060edfc33c4908b4b9b7df2862dd6f.csv),"Número de transações registradas no caixa. "
"Total Juros ",,,,Não iniciado,,,"Cliente (Tarefas%2035631d51a2bd48b992678042ebb44814/Cliente%20ff3ebdc5626a466385f6b135f69ee87c.csv), Conta Bancária (Tarefas%2035631d51a2bd48b992678042ebb44814/Conta%20Banca%CC%81ria%20ccb16ba331a048e4a9bcd1775476094d.csv), Condição de Pagamento (Tarefas%2035631d51a2bd48b992678042ebb44814/Condic%CC%A7a%CC%83o%20de%20Pagamento%206a56354ffb5d4aa1af09099fa8c9627d.csv), Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Funciona%CC%81rio%2035f8d4c9917c484c817544b0a75caf07.csv), Tipo de Pagamento (Tarefas%2035631d51a2bd48b992678042ebb44814/Tipo%20de%20Pagamento%2088656d5217984982a852b7f9edcbb1e6.csv)",,Total de juros aplicado sobre os valores recebidos dos clientes.
"Total de Multa ",,,,Não iniciado,,,"Cliente (Tarefas%2035631d51a2bd48b992678042ebb44814/Cliente%20d9def06b29254b89bf4d8a126673ef65.csv), Conta Bancária (Tarefas%2035631d51a2bd48b992678042ebb44814/Conta%20Banca%CC%81ria%2052e77fb178bb4faebb809e723a0e64fd.csv), Condição de Pagamento (Tarefas%2035631d51a2bd48b992678042ebb44814/Condic%CC%A7a%CC%83o%20de%20Pagamento%20dbbf2801fd3645949b7a6a5ed35c581e.csv), Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Funciona%CC%81rio%20beb5705aab7f4b0599567746dcf42f9d.csv), Tipo de Pagamento (Tarefas%2035631d51a2bd48b992678042ebb44814/Tipo%20de%20Pagamento%2014499ed4f4ff44e58837a366b966f95e.csv)",,Valor total de multa aplicada sobre os valores recebidos de clientes.
Recebimentos Parciais,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Cliente (Tarefas%2035631d51a2bd48b992678042ebb44814/Cliente%20b2c082950f7d40caa4864062556872ae.csv), Conta Bancária (Tarefas%2035631d51a2bd48b992678042ebb44814/Conta%20Banca%CC%81ria%2091fa18b478ef47f3b5932f45a978f017.csv), Condição de Pagamento (Tarefas%2035631d51a2bd48b992678042ebb44814/Condic%CC%A7a%CC%83o%20de%20Pagamento%204a91554bbc2a43619bb664c66570940c.csv), Tipo de Pagamento (Tarefas%2035631d51a2bd48b992678042ebb44814/Tipo%20de%20Pagamento%20bfa662ef9f634cbe945c31216855f31f.csv)",Aplicativo Recebimento (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Recebimento%2089b2e4b5691e4c14a9e79fb9d12a4a7c.csv),Número de recebimentos parciais realizados no período.
Total A Receber,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Cliente (Tarefas%2035631d51a2bd48b992678042ebb44814/Cliente%206793bfc7b306492b8d28544e396833e8.csv), Conta Bancária (Tarefas%2035631d51a2bd48b992678042ebb44814/Conta%20Banca%CC%81ria%209679b50bdfb5424496cf8fbd98556bac.csv), Condição de Pagamento (Tarefas%2035631d51a2bd48b992678042ebb44814/Condic%CC%A7a%CC%83o%20de%20Pagamento%20723019bb8851476a825befff6d59bcb6.csv), Tipo de Pagamento (Tarefas%2035631d51a2bd48b992678042ebb44814/Tipo%20de%20Pagamento%20816dea4f58c84916923a7d4ac38eb463.csv)",Aplicativo Recebimento (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Recebimento%2089b2e4b5691e4c14a9e79fb9d12a4a7c.csv),"Valor Total de lançamentos a serem recebidos. "
Parcelas Vencidas,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Cliente (Tarefas%2035631d51a2bd48b992678042ebb44814/Cliente%2067cbbb9c67074c6d9a91b8a237638584.csv), Conta Bancária (Tarefas%2035631d51a2bd48b992678042ebb44814/Conta%20Banca%CC%81ria%20b3f9bda232914535b8fe7d306feabc54.csv), Condição de Pagamento (Tarefas%2035631d51a2bd48b992678042ebb44814/Condic%CC%A7a%CC%83o%20de%20Pagamento%20748ed18edfa04387bd3584992c64aac9.csv), Tipo de Pagamento (Tarefas%2035631d51a2bd48b992678042ebb44814/Tipo%20de%20Pagamento%201010f13ca84b4de0b122b5bb1cb3c780.csv)",Aplicativo Recebimento (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Recebimento%2089b2e4b5691e4c14a9e79fb9d12a4a7c.csv),
Total de Descontos,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Cliente (Tarefas%2035631d51a2bd48b992678042ebb44814/Cliente%2092e0bc54c9544a4692bd6cbcd6f4f178.csv), Conta Bancária (Tarefas%2035631d51a2bd48b992678042ebb44814/Conta%20Banca%CC%81ria%20d748558668764173a6e7b61af115dc2d.csv), Condição de Pagamento (Tarefas%2035631d51a2bd48b992678042ebb44814/Condic%CC%A7a%CC%83o%20de%20Pagamento%2084cc950cd68d4883abb4166dbf29c488.csv), Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Funciona%CC%81rio%2057530bc8650340219fc6b7e2a1d67c6f.csv), Tipo de Pagamento (Tarefas%2035631d51a2bd48b992678042ebb44814/Tipo%20de%20Pagamento%203d3efd05e4f34bd980ff147836cd6448.csv)",Aplicativo Recebimento (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Recebimento%2089b2e4b5691e4c14a9e79fb9d12a4a7c.csv),Valor total de descontos aplicados nos recebimentos efetuados.
